ID	Synonyms	Definition	Definition in Sorani
ENG20-12498164-n	transferred property; transferred possession; 	a possession whose ownership changes or lapses	خاوەنێتیەک کە خاوەنەکەی دەگۆڕدرێ یان دەگوازێتەوە
ENG20-12498428-n	acquisition; 	something acquired	شتێک کە بەردەست کەوتووە
ENG20-12499978-n	gain; 	the amount by which the revenue of a business exceeds its cost of operating	ئەو ئەندازەی کە پیشەیەک سوودی وەدەست هێنانەکەی لە خەرجی هەوەڵی زۆرتر بووە
ENG20-12500158-n	financial gain; 	the amount of monetary gain	ئەندازەی پارەی سوود کراو
ENG20-12500318-n	income; 	the financial gain (earned or unearned) accruing over a given period of time	سوودی ماڵی (بەدەست هێناو یان نە) لە ماوەیەکی زەمان دا
ENG20-12509957-n	gift; 	something acquired without compensation	شتێ کە بە بێ قەرەبووکردن وە دەست دێ
ENG20-12510840-n	aid; economic aid; 	a gift of money to support a worthy person or cause	خەڵاتتی پارە بۆ پشتیوانی کەسێکی دەوڵەمەن یان مەبەستێ
ENG20-12512969-n	prize; award; 	something given for victory or superiority in a contest or competition or for winning a lottery	شتێک کە دەدرێ بۆ دابەزاندن یان پێش کەوتن لە کێ بەر کێ یان پێشبڕکێ یان لە قومارێک دا
ENG20-12520120-n	cost; 	the total spent for goods or services including money and time and labor	تەواوی ئەوەی بۆ کەلوپەل یان خزمەتکاری خەرج دەبێ چ پارە چ کات و چ زەحمەت
ENG20-12522505-n	payment; 	a sum of money paid	ئەو پارەیەی خەرج دەبێ
ENG20-12523352-n	wage; pay; earnings; remuneration; salary; 	something that remunerates	پارەی کە دەدرێ
ENG20-12525365-n	regular payment; 	a payment made at regular times	پارەی پێدانێ لە کاتی هەمیشەیی
ENG20-12526097-n	recompense; 	payment or reward (as for service rendered)	پارە پێدان یان خەڵات (وەک بۆ خزمەتکاریەکان)
ENG20-12526640-n	compensation; 	something (such as money) given or received as payment or reparation (as for a service or loss or injury)	شتێ (وەک پارە) کە دەدرێ یان دەگیردرێ وەک مووچە یان قەرەبووکردنەوە (وەک بۆ خزمەتکاری یان لەدەست چوون یان زیانێ)
ENG20-12529266-n	share; portion; part; percentage; 	assets belonging to or due to or contributed by an individual person or group	ئەو بەشانەی کە موڵکی کەسێکە یان تەڕخان کراون لە لایەن لەسێ یان ڕێکخراوەیەکەوە
ENG20-12532618-n	fee; 	an interest in land capable of being inherited	سوود لە زەوینێک کە بە میرات دەگەیێ
ENG20-12533248-n	cut; 	a share of the profits	هاوبەشی سوودەکان
ENG20-12550626-n	charge; 	the price charged for some article or service	ئەو نرخەی کە بۆ کەلوپەل یان خزمەتکاری دەسێندرێ
ENG20-12552620-n	levy; 	a charge imposed and collected	پارەی کە دەسەپێندرێ و کۆدەبێتەوە
ENG20-12552755-n	tax; taxation; revenue enhancement; 	charge against a citizen's person or property or activity for the support of government	ئەو پارەی لەبەرانبەر هەر شارومەند یان خاوەن موڵک یان چالاکیەک هەیە بۆ پشتیوانی لە دەوڵەت
ENG20-12570460-n	loss; red ink; red; 	the amount by which the cost of a business exceeds its revenue	ئەو ئەندازەی خەرجی پیشەیەک لە سوودەکەی زۆرترە
ENG20-12570905-n	loss; 	something that is lost	شتێک کە لە دەست چووە
ENG20-12571125-n	financial loss; 	loss of money or decrease in financial value	لەدەست چوونی پارە یان هاتنە خوارەوەی نرخی ماڵی
ENG20-12574523-n	sum; sum of money; amount; amount of money; 	a quantity of money	هەندێ پارە
ENG20-12576508-n	investment; investment funds; 	money that is invested with an expectation of profit	پارەیەک کە تەڕخان دەکرێ بە چاوەڕوانی سوودکردن
ENG20-12587181-n	security; protection; 	defense against financial failure; financial independence	بەرگری لە شکستی ماڵی؛ سەربەخۆیی ماڵی
ENG20-12592487-n	security; surety; 	property that your creditor can claim in case you default on your obligation	ئەو موڵکەی کە ئەو کەسەی تەزمینی تۆی کردووە دەتوانێ وەری گرێ ئەگەر بەرپرسیارەتیەکەت بە جێ نەهێنی
ENG20-12592754-n	deposit; 	money given as security for an article acquired for temporary use	ئەو پارەی دەدرێ وەک دڵنیا بوون بۆ کەڵک گرتنی ماوەیی لە شتێ
ENG20-12596037-n	material resource; 	assets in the form of material possessions	سەرمایە لە شکڵی موڵکی مادی
ENG20-12596470-n	capital; 	wealth in the form of money or property owned by a person or business and human resources of economic value	سەرمایە لە شکڵی پارە یان موڵک کە خاوەنی یان کەسێکە یان پیشەیەک و سەرچاوە ئینسانیەکانی دارای بەهای ئابووری
ENG20-12597247-n	capital; working capital; 	assets available for use in the production of further assets	ئەو سەرمایەی بۆ وە دەست هێنانی سەرمایەی زۆرتر لە بەر دەستدا یە
ENG20-12598921-n	funds; finances; monetary resource; cash in hand; pecuniary resource; 	assets in the form of money	سەرمایە لە شکڵی پارە
ENG20-12601340-n	fund; monetary fund; 	a reserve of money set aside for some purpose	هەندێ پارە کە بۆ مەبەستێ تایبەت وە لا نراوە
ENG20-12602095-n	bank account; 	a fund that a customer has entrusted to a bank and from which they can make withdrawals	پارەی کۆکراوە کە کەسێ لە بانکی تەڕخان کردووە و دەتواندرێ لێ پارە وەربگیردرێ
ENG20-12602895-n	trust; 	something (as property) held by one party (the trustee) for the benefit of another (the beneficiary)	شتێ (یان موڵکێ) کە لایەنێ ڕای دەگرێ بۆ بەهرە و سوودی لایەنی دی
ENG20-12608988-n	accumulation; 	(finance) profits that are not paid out as dividends but are added to the capital base of the corporation	(ماڵی) ئەو سوودانەی کە وەک سوودی شیراکەت نادرێن بەڵام زیاد دەبن بە بنەمای سەرمایەی کۆمپانیاکەوە
ENG20-12609365-n	store; stock; fund; 	a supply of something available for future use	فەراهەم هێنانی شتێک بۆ بە کار هێنانی داهاتوو
ENG20-12615184-n	medium of exchange; monetary system; 	anything that is generally accepted as a standard of value and a measure of wealth in a particular country or region	هەر شتێ کە وەک ستانداردی بەها و نرخ بە گشتی قبووڵ کراوە و پێوەری سەرمایەیە لە وڵات یان ناوچەیەکی تایبەت دا
ENG20-12618045-n	advance; cash advance; 	an amount paid before it is earned	ئەو ئەندازەی خەرج دەکرێ پێش ئەوەی شتێ بە دەست بێ
ENG20-12620638-n	credit; 	money available for a client to borrow	ئەو پارەی لە بەر دەستی موشتەری دایە بۆ قەرز گرتن
ENG20-12626498-n	money; 	the most common medium of exchange; functions as legal tender	باوترین ئامێری مامەڵە؛ وەک بابەتی یاسایی کڕین و فرۆشتن ئیش دەکا
ENG20-12626782-n	money; 	the official currency issued by a government or national bank	دراوی فەرمی کە دەوڵەت یان بانکی نەتەوەیی ڕای دەگەینێ
ENG20-12627085-n	boodle; bread; cabbage; clams; dinero; dough; gelt; kale; lettuce; lolly; lucre; loot; moolah; pelf; scratch; shekels; simoleons; sugar; wampum; 	informal terms for money	تێرمی نافەرمی بۆ پارە
ENG20-12627781-n	currency; 	the metal or paper medium of exchange that is presently used	ئامێری مامەڵەی قاقزی یان فلزی کە ئێستە بە کار دێن
ENG20-12628464-n	cash; hard cash; hard currency; 	money in the form of bills or coins	پارە بە شکڵی ئەسکەناس یان پوڵی وردە
ENG20-12629354-n	coinage; mintage; specie; metal money; 	coins collectively	پارەی وردە بە گشتی
ENG20-12629722-n	coin; 	a metal piece (usually a disc) used as money	وردەیەکی کانزایی (پتر گرد) وەک پارە بە لار دێ
ENG20-12633334-n	dollar; 	a United States coin worth one dollar	پارەی وردەی ئەمریکا بە بەهای 1 دۆلار
ENG20-12638453-n	debt; 	money or goods or services owed by one person to another	پارە یان کەلوپەل بەیەکەوە کە کەسێ قەرزاری کەسێ ترە
ENG20-12640219-n	loan; 	the temporary provision of money (usually at interest)	قەرز دانی ماوەیی پارە (پتر وەک سەرمایە)
ENG20-12641862-n	charge; 	financial liabilities (such as a tax)	بەرپرسیاریەتی ماڵی (وەک باج دان)
ENG20-12644395-n	document; 	a written account of ownership or obligation	گێڕاوەی نووسراوی خاوەنێتی یان ئەرک
ENG20-12644689-n	record; 	a document that can serve as legal evidence of a transaction	بەڵگەنامەیەک کە وەک بەڵگەی یاسایی مامەڵەیەک بە کار دێ
ENG20-12653348-n	register; 	a book in which names and transactions are listed	کتێبێک کە نێو و مامەڵەکانی تێدایە
ENG20-12679776-n	bodily process; body process; bodily function; activity; 	an organic process that takes place in the body	پرڕۆسەیەکی ئۆرگانیک کە لە جەستە ڕوو دەدا
ENG20-12684070-n	cavity; caries; dental caries; tooth decay; 	soft decayed area in a tooth; progressive decay can lead to the death of a tooth	پارچەی نەرمی ددان؛ پووکەوە بوونی بەردەوام دەبێتە هۆی لەبەین چوونی ددان
ENG20-12691220-n	consumption; economic consumption; usance; use; use of goods and services; 	(economics) the utilization of economic goods to satisfy needs or in manufacturing	(ئابووری زانی) بە کار هێنانی کەلوپەل بۆ بەرتەرەف کردنی پێداویستیەکان یان بە کار هێنان لە بەرهەم هێنان
ENG20-12694687-n	data processing; 	(computer science) a series of operations on data by a computer in order to retrieve or transform or classify information	(زانستی کۆمپیوتەر) زنجیرە ئۆپێراسیۆنێک لە سەر زانیاری لە کۆمپیوتەر لە بۆ دووبارە وە دەست هێنان یان جێ بە جێ کردن یان پۆڵێن کردنی زانیاریەکان
ENG20-12695915-n	decay; 	the process of gradually becoming inferior	پرۆسەی وردەوردە لە بەین چوون
ENG20-12696578-n	decline; diminution; 	change toward something smaller or lower	گۆڕان بۆ شتێک بچووکتر یان خوارتر
ENG20-12697476-n	decrease; decrement; 	a process of becoming smaller or shorter	پرۆسەی بچووکتر یان کۆتاتر بوون
ENG20-12700049-n	demand; 	the ability and desire to purchase goods and services	توانایی و حەزی کڕین کەلوپەل یان خزمەتکاری
ENG20-12702926-n	deterioration; decline in quality; declension; worsening; 	process of changing to an inferior state	پرۆسەی گۆڕان بۆ بارێکی خوارتر
ENG20-12703162-n	development; developing; 	processing a photosensitive material in order to make an image visible	پرۆسەی ئیش کردن لە سەر مادەی حەساس بە نوور بۆ پەیدا بوونی وێنە
ENG20-12703425-n	development; evolution; 	a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)	پرۆسەیەک کە شتێک تێدا چەند قۆناغ باری جێ بە جێ دەبێ (پتر بارێکی باڵق یان پێشکەوتوو)
ENG20-12704135-n	diffusion; 	(physics) the process of diffusing; the intermingling of molecules in gases and liquids as a result of random thermal agitation	(فیزیا) پرۆسەی بڵاوبوونەوە؛ لەیەک چەسپانی مولکوولەکان لە گاز یان شلەمەنیەکان بە هۆی ورووژانەوەی گەرما
ENG20-12704894-n	dilapidation; ruin; 	the process of becoming dilapidated	پرۆسەی خاپوور بوون
ENG20-12709610-n	economic process; 	any process affecting the production and development and management of material wealth	هەر پرۆسەیەکی کاریگەری دار لە سەر بەرهەم هێنان و گەشە کردن و بەڕێوەبەری سەرمایەی مادی
ENG20-12713540-n	erosion; eroding; eating away; wearing; wearing away; 	(geology) the mechanical process of wearing or grinding something down (as by particles washing over it)	(زەوی ناسی) پرۆسەی مێکانیکی کۆن کردن یانورد کردنی شتێک (وەک زەرەکان لە سەریان بشۆرێنەوە)
ENG20-12719771-n	flow; 	any uninterrupted stream or discharge	هەر جۆرە ڕەوت یان خاڵی بوونێکی باری بێ بڕانەوە
ENG20-12724140-n	geological process; geologic process; 	(geology) a natural process whereby geological features are modified	(زەوی ناسی) پرۆسەیەکی سروشتی کە تێدا تایبەتمەندیە زەوی ناسیەکان شکڵ دەگرن
ENG20-12726302-n	growth; growing; maturation; development; ontogeny; ontogenesis; 	(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level	(گیان ناسی)  پرۆسەی گەشەکردنی ئۆرگانیکی بوونەوەرێکی سەربەخۆ؛ ڕوون بوونی ڕوداوانی یەکسەر گیان ناسی دەخیل لە بوونەوەرێک کە لە ئاستێکی ساکار بۆ ئەوی ئاڵۆز و پێچراو دەگۆڕدرێ
ENG20-12733497-n	increase; increment; growth; 	a process of becoming larger or longer or more numerous or more important	پرۆسەی گەورەتر بوون یان درێژتر بوون یان زۆرتر بوونی ئەژمار یان گرنگی
ENG20-12735352-n	inflation; rising prices; 	a general and progressive increase in prices	چوونەسەری گشتی و بەردەوامی نرخەکان
ENG20-12745419-n	loss; 	gradual decline in amount or activity	کەمەو بوونی وردەوردە لە ئەندازە یان چالاکی
ENG20-12755345-n	natural process; natural action; action; activity; 	a process existing in or produced by nature (rather than by the intent of human beings)	پرۆسەیەک کە لە سروشت هەیە یان درووست دەبێ (نە وەک بە هۆی ئەنقەستی بنیامەکان)
ENG20-12759470-n	nuclear reaction; 	(physics) a process that alters the energy or structure or composition of atomic nuclei	(فیزیا) پرۆسەیەک کە ئێنێرژی یان پێکهاتە یان کۆمپۆزێسیۆنی ناوەکی ئەتۆمێک دەگۆڕێ
ENG20-12761088-n	operation; 	(computer science) data processing in which the result is completely specified by a rule (especially the processing that results from a single instruction)	(زانستی کۆمپیوتەر) پرۆسە کردنی زانیاری کە ئاکات=رەکی تێدا بە یاسایەک دیاری دەبێ ( بەتایبەت ئەو پرۆسەیەی کە لە فەرمانێکی تاقەوە وەردەگیردرێ)
ENG20-12761712-n	operation; functioning; performance; 	process or manner of functioning or operating	پرۆسەی یان حاڵەتی کارکرد یان ئۆپێراسیۆن کردن
ENG20-12762272-n	organic process; biological process; 	a process occurring in living organisms	پرۆسەیەک کە لە بوونەوەرە زیندووەکان ڕوو دەدا
ENG20-12768553-n	parturition; birth; giving birth; birthing; 	the process of giving birth	پرۆسەی منداڵ بوون
ENG20-12776691-n	process; 	a sustained phenomenon or one marked by gradual changes through a series of states	دیاردەیەکی سابت یان یەکێ کە بە گۆڕانی وردەوردە لە زنجیرە بارودۆخێک
ENG20-12777371-n	processing; 	preparing or putting through a prescribed procedure	ئامادە کردن یان لە پرۆسەیەکی تەجویز کراو نیان
ENG20-12789329-n	search; lookup; 	an operation that determines whether one or more of a set of items has a specified property	ئۆپێراسیۆنێ کە دیاری دەکا کە یەک یان زۆرتری ئایتێمەکان تایبەتمەندیەکیان هەیە یان نە
ENG20-12798294-n	succession; ecological succession; 	(ecology) the gradual and orderly process of change in an ecosystem brought about by the progressive replacement of one community by another until a stable climax is established	(دەوروبەرزانی) پرۆسەی گۆڕانی وردەوردە و ڕێک و پێکی لە ئێکۆسیستەمێکدا کە بە هۆت جێگیر بوونی بەردەوامی کۆمەڵێک بە یەکێکی دی بە دەست دێ تاکوو لووتکەیەک وە دەست دێ
ENG20-12798936-n	supply; 	offering goods and services for sale	کەلوپەل یان خزمەتکاری فرۆشتن
ENG20-12811168-n	definite quantity; 	a specific measure of amount	ئەندازە یان کەمێتیەک دیاری کراو
ENG20-12811422-n	indefinite quantity; 	an estimated quantity	ئەندازەیەکی خەمڵاو
ENG20-12812031-n	relative quantity; 	a quantity relative to some purpose	ئەندازەیەکی نسبی بۆ مەبەستێ
ENG20-12812220-n	system of measurement; metric; 	a system of related measures that facilitates the quantification of some particular characteristic	سیستەمێکیئەندازە پەیوەندیدارەکان کە ئەندازەگرتنی هەندێ تایبەتمەندی جیاواز ئاسان دەکا
ENG20-12816962-n	number; 	a concept of quantity derived from zero and units	بیرۆکەیەکی ئەندازە گرتن لە سفرەوە و یەکەکان
ENG20-12818586-n	unit of measurement; unit; 	any division of quantity accepted as a standard of measurement or exchange	هەر دابەشێکی ئەندازە کە وەک ستانداردێکی ئەندازە گرتن قبووڵ کراوە
ENG20-12826338-n	count; 	the total number counted	ئەژماری تەواوی ژماردراو
ENG20-12829162-n	score; 	a number that expresses the accomplishment of a team or an individual in a game or contest	ئەژمارێک کە ئاکاری سەرکەوتنی یانە یان تاکێک لە یاری یان پێشبڕکەیەک دەردەخا
ENG20-12831821-n	base; radix; 	(numeration system) the positive integer that is equivalent to one in the next higher counting place	(سیستەمی ئەژماری) ئەنتەگرێکی پۆزیتیڤ کە بەرانبەری یەکێکە لە جێگای ئەژماری بانترەوە
ENG20-12833339-n	quota; 	a prescribed number	ژمارەیەکی بڕیار دراو
ENG20-12833460-n	linear measure; long measure; 	a measure of length	ئەندازەیەکی درێژی
ENG20-12834448-n	area unit; square measure; 	a system of units used to measure areas	سیستەمێکی یەکەکان بۆ ئەندازەگرتنی پاڕجە جێگەکان
ENG20-12836845-n	linear unit; 	a unit of measurement of length	یەکەیەکی ئەندازە گرتنی درێژی
ENG20-12837762-n	metric unit; metric; 	a decimal unit of measurement of the metric system (based on meters and kilograms and seconds)	یەکەیەکی دەیی ئەندازە گرتن لە سیستەمی متری (لەسەر متر و کولووگرەم و چرکە)
ENG20-12842103-n	temperature unit; 	a unit of measurement for temperature	یەکەیەکی ئەندازە گرتنی گەرما
ENG20-12842293-n	weight unit; weight; 	a unit used to measure weight	یەکەیەک بۆ ئەندازە گرتنی قورسایی
ENG20-12878869-n	foot; ft; 	a linear unit of length equal to 12 inches or a third of a yard	یەکەیەکی هێڵی بەرانبەر بە 12 ئینچ یان یەک سێهەمی یاردێک
ENG20-12940375-n	agate line; line; 	space for one line of print (one column wide and 1/14 inch deep) used to measure advertising	بۆشایی بۆ یەک هێڵی چاپ (یەک ستوون پان و 1/14 ئینچ قووڵ) بۆ ئەندازە گرتنی پرۆپاگەندەی ڕاگەیاندن
ENG20-12941556-n	degree; 	a unit of temperature on a specified scale	یەکەیەکی ئەندازە گرتنی گەرما لە سەر پێوەرێکی تایبەت
ENG20-12944491-n	metric weight unit; weight unit; 	a decimal unit of weight based on the gram	یەکەیەکی دەیی قورسایی لەسەر گرەم
ENG20-12950511-n	gram; gramme; gm; g; 	a metric unit of weight equal to one thousandth of a kilogram	یەکەیەکی متری بەرانبەر بە یەک هەزارمی کیلووگرەم
ENG20-12951583-n	key; 	a kilogram of a narcotic drug	کیلوویەک مادەی هۆشبەر
ENG20-12957424-n	square; second power; 	the product of two equal terms	بەرهەمی دوو تێرمی بەرانبەر
ENG20-12965195-n	nothing; nil; nix; nada; null; aught; cipher; cypher; goose egg; naught; zero; zilch; zip; 	a quantity of no importance	ئەندازەیەکی بێ گرنگی
ENG20-12977874-n	addition; increase; gain; 	a quantity that is added	ئەندازەیەک کە زیاد بووە
ENG20-12979670-n	containerful; 	the quantity that a container will hold	ئەندازەیەک کە دەفرێ لەخۆ دەگرێ
ENG20-12980794-n	footstep; pace; step; stride; 	the distance covered by a step	ئەو ڕەژەندەیە کە هەنگاوێ دەیپێوێ
ENG20-12981269-n	large indefinite quantity; large indefinite amount; 	an indefinite quantity that is above the average in size or magnitude	ئەندازەیەکی نادیار کە زۆرترە لە ڕێژەی ئاسایی لە گەورەیی دا
ENG20-12981984-n	limit; limit point; point of accumulation; 	the mathematical value toward which a function goes as the independent variable approaches infinity	بەهای ماتیماتیکی کە تابعێک بەرو لای دەڕوا وەک ڤاریانسی سەربەخۆ لە بێ نەهایەت نزیک دەبێتەوە
ENG20-12983934-n	small indefinite quantity; small indefinite amount; 	an indefinite quantity that is below average size or magnitude	ئەندازەیەکی نادیار کە کەمترە لە ڕێژەی ئاسایی لە گەورەیی دا
ENG20-12986078-n	nose; 	a small distance	ڕەهەندەیەکی کەم
ENG20-12987962-n	worth; 	an indefinite quantity of something having a specified value	ئەندازەیەکی نادیاری شتێ کە بەهایەکی تایبەتی هەیە
ENG20-12988809-n	basket; basketful; 	the quantity contained in a basket	ئەندازەیەک کە سەوەتەیەک لە خۆ دەگرێ
ENG20-12988998-n	bottle; bottleful; 	the quantity contained in a bottle	ئەندازەیەک کە بۆتڵێک لە خۆ دەگرێ
ENG20-12992635-n	pot; potful; 	the quantity contained in a pot	ئەندازەیەک کە قازانێک لە خۆ دەگرێ
ENG20-12994807-n	drop; driblet; 	a small quantity (especially of a liquid)	ئەندازەیەکی کەم (بەتایبەت ئەوی تەوشێ)
ENG20-12995746-n	load; loading; 	a quantity that can be processed or transported at one time	ئەندازەیەک کە دەتوانی پرۆسەی کەی یان لە یەک کاتدا جێ بە جێ کەی
ENG20-12997669-n	batch; deal; flock; good deal; great deal; hatful; heap; lot; mass; mess; mickle; mint; muckle; peck; pile; plenty; pot; quite a little; raft; sight; slew; spate; stack; tidy sum; wad; whole lot; whole slew; 	(often followed by `of') a large number or amount or extent	(پتر بە دوایدا ئۆف واتە لە دێ) ئەندازەیەکی گەورە یان ئەژمار و بەشێکی گەورە
ENG20-13000243-n	supply; 	an amount of something available for use	ئەو ئەندازەیەک لە شتێ کە لە بەردەست دایە
ENG20-13000678-n	room; way; elbow room; 	space for movement	بۆشایی بۆ جووڵانەوە
ENG20-13003040-n	proof; 	a measure of alcoholic strength expressed as an integer twice the percentage of alcohol present (by volume)	ئەندازەگرتنی هێزی ئەلکۆلی کە وەک ئەنتەگرێک کە دووبەرابەری ئەلکۆلی مەوجوودە ( بە قەبارە)
ENG20-13003561-n	relationship; human relationship; 	a relation between people; (`relationship' is often used where `relation' would serve, as in `the relationship between inflation and unemployment', but the preferred usage of `relationship' is for human relations or states of relatedness)	پەیوەندی نێوان خەڵکی (خزمایەتی لە جێ پەیوەندیش بە کار دێ وەک خزمایەتی بەینی  قەیررانی ئابووری و بێکاری بەڵام خزمایەتی پتر بۆ پەیوەندی نێوان مرۆڤەکان بە کار دەچێ یان باری پەیوەندیەکان)
ENG20-13005985-n	mathematical relation; 	a relation between mathematical expressions (such as equality or inequality)	پەیوەندی نێوان تێرمە ماتماتیکەکان (وەک بەرابەری یان ناڤەرابەری)
ENG20-13006220-n	function; mathematical function; 	a mathematical relation such that each element of one set is associated with at least one element of another set	پەیوەندیەکی ماتماتیک کە  هەر هێمانێکی لەگەڵ لانی کەم یەک هێمانی دەستەیەکی تر پەیوەندی هەیە
ENG20-13011409-n	foundation; 	the basis on which something is grounded	بنەمایەک کە شتێک لە سەری دایە
ENG20-13012086-n	connection; connexion; connectedness; 	a relation between things or events (as in the case of one causing the other or sharing features with it)	پەیوەندی نێوان شتەکان یان ڕووداوەکان (وەک نموونەی یەکێک بوونە هۆی یەکێکی دی یان هاوبەش بوون لە تایبەتمەندیهایەک)
ENG20-13013973-n	bridge; 	something resembling a bridge in form or function	شتێک کە لە پرد دەکا لە شکڵ یان کارکرد
ENG20-13014869-n	unconnectedness; 	the lack of a connection between things	نەبوونی پەیوەندی نێوان شتەکان
ENG20-13015024-n	relevance; relevancy; 	the relation of something to the matter at hand	پەیوەندی شتێ بەی بابەتەی لە دەستەوە
ENG20-13016128-n	relatedness; 	a particular manner of connectedness	حاڵەتێکی تایبەتی پەیوەندیدارێتی
ENG20-13017166-n	grammatical relation; 	a linguistic relation established by grammar	پەیوەندیەکی زمان ناسی بەن کراو بە ڕێزمان
ENG20-13017529-n	linguistic relation; 	a relation between linguistic forms or constituents	پەیوەندی نێوان شکڵە زمان ناسیەکان یان بەشە کان
ENG20-13024538-n	aspect; 	the beginning or duration or completion or repetition of the action of a verb	دەستپێک یان درێژایەتی یان تەواو بوون یان دووبارە بوونی عەمەڵی فرمانێک
ENG20-13029242-n	detail; particular; item; 	a small part that can be considered separately from the whole	بەشێکی بچووک کە دەتوانی جودا لە تاواوەتی بەر چاوی گری
ENG20-13029645-n	unit; 	an individual or group or structure or other entity regarded as a structural or functional constituent of a whole	یەکە یان گرووپ یان پێکهاتەیەک یان هەر بوونێکی تر کە وەک هاوبەشێکی پێکهاتەیی یان کارکردی تەواوەتیەک دەژمێردرێ
ENG20-13029937-n	member; 	anything that belongs to a set or class	هەر شتێک کە هی دەستە یان گرووپێکە
ENG20-13030104-n	substance; 	the stuff of which an object consists	ئەو مادانەی کە شتێک پێک دێنن
ENG20-13030197-n	remainder; balance; residual; residue; residuum; rest; 	something left after other parts have been taken away	شتێک کە بە جێ دەمێنێ کاتێ ئەو بەشانی دی دەبرێن
ENG20-13030735-n	affinity; kinship; 	a close connection marked by community of interests or similarity in nature or character	پەیوەندیەکی نزیک کە بە کۆمەڵی بەرژەوەندی یان لەیەک چوون لە سروشت یان هەڵسوکەوتدا دیاری دەبێ
ENG20-13031908-n	kinship; family relationship; relationship; 	state of relatedness or connection by blood or marriage or adoption	باری پەیوەندی دار بوون بە خوێن یان هاوسەرایەتی یان قبووڵ کردن وەک منداڵی خۆ
ENG20-13032887-n	parentage; birth; 	the kinship relation of an offspring to the parents	پەیوەندی خزمایەتی منداڵ دەگەڵ باوک و دایک
ENG20-13034220-n	magnitude relation; quantitative relation; 	a relation between magnitudes	پەیوەندی نێوان گەورەییەکان
ENG20-13034392-n	scale; 	relative magnitude	گەورەیی نسبی
ENG20-13037616-n	ratio; 	the relative magnitudes of two quantities (usually expressed as a quotient)	گەورەیی نسبی دوو ئەندازە (پتر وەک نئسبەت دەنرخێندرێ)
ENG20-13039195-n	efficiency; 	the ratio of the output to the input of any system	ڕێژەی ئاکام لە بەرانبە مایەی هەر سیستەمێ
ENG20-13039438-n	focal ratio; f number; stop number; speed; 	the ratio of the focal length to the diameter of a (camera) lens system	ڕێژەی درێژایی فووکس بوون بە ئەندازەی لێنزی سیستەمێ (کامێرا)
ENG20-13045298-n	direction; 	the spatial relation between something and the course along which it points or moves	پەیوەندی بۆشایی نێوان شتێ وئەو ڕەوتەی کە لە سەری دەڕوا یان دەجووڵێ
ENG20-13047843-n	compass point; point; 	any of 32 horizontal directions indicated on the card of a compass	هەر یەک لە 32 لایەنە ئاسۆییەکان کە لە سەر کارتی قوتبنمایەک دیار دەکەوێ
ENG20-13048538-n	cardinal compass point; 	one of the four main compass points	یەک لە چوار خاڵە سەرەکیەکانی قوتبنما
ENG20-13048967-n	north; magnetic north; compass north; 	the direction in which a compass needle points	ئەو لایەی کە سووکەی قوتبنما لێ ڕاوەستاوە
ENG20-13049865-n	east; due east; E; 	the cardinal compass point that is at 90 degrees	خاڵی سەرەکی قوتبنما کە 90 دەرەجەیە
ENG20-13052855-n	angular position; 	relation by which any position with respect to any other position is established	ئەو پەئوەندیەی کە جێگای هەر شتێ بە نسبەت شتێکی دی دیاری دەکا
ENG20-13053348-n	elevation; EL; altitude; ALT; 	angular distance above the horizon (especially of a celestial object)	ڕەهەندەی گۆشەداری سەر ئاسۆ (پتر هی شتێکی ئاسمانی)
ENG20-13053621-n	business relation; 	a relation between different business enterprises	پەیوەندی نێوان بەشە جوداکانی پیشەیەک
ENG20-13053789-n	competition; 	a business relation in which two parties compete to gain customers	پەیوەندی پیشەیی نێوان دوو کۆمپانی کە پێشبڕکێ دەکەن لە سەر موشتەری
ENG20-13057499-n	politics; political relation; 	social relations involving authority or power	پەیوەندیە کۆمەڵایەتیەکان کە لە سەر دەسەڵات یان هێزن
ENG20-13057875-n	reciprocality; reciprocity; 	a relation of mutual dependence or action or influence	پەیوەندی بەیەکەوە بەستە بوونی دوولایەنە یان ئیش یان کاریگەری هەبوونی دوو لایەنە
ENG20-13060874-n	temporal relation; 	a relation involving time	پەیوەندی کە کاتی تێ دەخیلە
ENG20-13062254-n	first; number one; 	the first or highest in an ordering or series	بانترین یان هەوەڵین لە زنجیرە یان پێکهاتەیەک
ENG20-13069536-n	comparison; 	relation based on similarities and differences	پەیوەندی لە سەر لەیەکچوونەکان یان جیاوازیەکان
ENG20-13070377-n	opposition; oppositeness; 	the relation between opposed entities	پەیوەندی نێوان بوونە بەرانبەریەکەکان
ENG20-13073707-n	inverse; opposite; 	something inverted in sequence or character or effect	شتێ کە لە زنجیرە یان هەڵسوکەوت یان کاریگەری هەڵگەڕاوەتەوە
ENG20-13075326-n	solid; 	a three-dimensional shape	شکڵێکی سێ ئاستی
ENG20-13075583-n	plane; sheet; 	(mathematics) an unbounded two-dimensional shape	(ماتماتیک) شکڵێکی دەورنەگیراوی دوو ئاستی
ENG20-13076779-n	natural shape; 	a shape created by natural forces; not man-made	شکڵێ کە هێزە سروشتیەکان پێکیان هێناوە نە ئینسان
