زۆر	abundance	abundant	ample	copious	deal	duress	extra	greatly	jolly	lot	many	much	multi	numerous	plentiful	richly	so	too	vast	very
مۆرکردن	approve																			
رەزامەندی	approval																			
قایلی	approval																			
هاوڕایی	approval																			
لەتکردن	apportions																			
دیاریکردن	appoint																			
پاشکۆکردن	append																			
ناولێنان	appellation																			
سەردەرنان	appear																			
نووک	apex																			
شادەمار	aorta																			
بژاڵی	anxiety																			
پەرێشانی	anxiety																			
نیگەرانی	anxiety																			
پێشدانەوە	anticipate																			
جانەوەر	animal																			
کونج	angle																			
سەرخۆشکردن	amuse																			
سەرسووڕماندن	amuse																			
سەرقاڵکردن	amuse																			
پەیوەست	alliance																			
پەیوەند	alliance																			
ئالێگۆری	allegory																			
بێگانه	alien																			
فڕگە	airport																			
تامەزرۆ	agog																			
پەلامار	aggression																			
ئاپوره	aggregate																			
بەندیواری	affinity																			
خزمایەتی	affinity																			
بەرژەوەندی	advantage																			
گەییو	adult																			
دامودەزگا	administration																			
ئیدارە	administration																			
سەربارکردن	addition																			
کۆکردنەوه	addition																			
خووگری	addiction																			
پاشبەند	addendum																			
خۆڕاهێنان	adapt																			
ڕاهاتن	adapt																			
گونجاندن	adapt																			
بەوردی	accurately																			
هۆتێل	accomodation																			
وەردەگرێت	accept																			
خوەسندان	abuse																			
دەرهەست	abstract																			
ناپتەوه	abstract																			
ناخۆیا	abstract																			
ئەبستراکت	abstract																			
ڕاکێشران	absorb																			
هەڵمژان	absorb																			
لەوێ‌نەبوون	absence																			
گەده	abdomen																			
قەسابخانە	abattoir																			
